wave,residual,cumulative_model
4.900367319643593,0.001494903545802749,0.0
4.901169488813213,0.0020405617366935982,0.0
4.901971647588897,0.0016541771445569148,0.0
4.90277379599116,0.0012107967634725977,0.0
4.903575934040517,0.0019665953045521697,0.0
4.904378061757484,0.0006519987236386568,0.0
4.905180179162579,-0.000955382895223171,0.0
4.905982286276314,3.0862028860788315e-05,0.0
4.9067843831192075,0.0013285128391012022,0.0
4.9075864697117755,0.00046659486629580665,0.0
4.908388546074532,-0.0006244923934489721,0.0
4.909190612227995,-0.0004873280787413281,0.0
4.909992668192679,0.0015541909719813188,0.0
4.9107947139891,0.001355260830615948,0.0
4.9115967496377735,0.001947204183126286,0.0
4.912398775159216,0.0013069462187093733,0.0
4.913200790573944,0.0012688361620040237,0.0
4.914002795902471,0.001040873081680535,0.0
4.9148047911653165,0.0003528446576257782,0.0
4.915606776382992,-0.0014891410775805247,0.0
4.916408751576017,-0.00017681132980192082,0.0
4.917210716764905,0.0009483854224298927,0.0
4.918012671970173,0.000910487978811679,0.0
4.918814617212337,-0.00014345816187798927,0.0
4.91961655251191,-0.0002520723557800711,0.0
4.920418477889413,-0.001061860717786578,0.0
4.921220393365358,0.0015351147105325605,0.0
4.922022298960261,0.001673188339259668,0.0
4.92282419469464,0.0014445260102815896,0.0
4.923626080589009,0.0014035375326231225,0.0
4.924427956663884,0.0006764104235953972,0.0
4.925229822939782,-0.0008352891487362485,0.0
4.926031679437218,-0.0015867532717223909,0.0
4.926833526176708,-0.0019850167179030695,0.0
4.927635363178767,-0.002235527753823463,0.0
4.928437190463912,-0.0014896751334726593,0.0
4.929239008052658,0.0002943414039053502,0.0
4.930040815965522,0.0008548605428768605,0.0
4.930842614223019,0.0005273269180763387,0.0
4.931644402845664,-0.0016125781189747501,0.0
4.932446181853974,-0.0006525503270240762,0.0
4.9332479512684655,-0.00024367589092873232,0.0
4.934049711109653,-0.0012275033523347217,0.0
4.934851461398052,-0.001236556876145621,0.0
4.93565320215418,-0.0009698829508511045,0.0
4.936454933398553,-0.0013331396726987965,0.0
4.937256655151684,-0.002048217339918605,0.0
4.938058367434091,-0.002686732353909614,0.0
4.93886007026629,-0.0004462732416322737,0.0
4.939661763668796,0.000945773459503009,0.0
4.940463447662125,0.0010958930498497499,0.0
4.941265122266794,0.0008223101240131328,0.0
4.942066787503317,0.0003773664697449969,0.0
4.94286844339221,-0.0014514318992665948,0.0
4.943670089953991,-0.0014421362002417643,0.0
4.944471727209174,-0.00025738597727564816,0.0
4.945273355178275,0.00022534607769946619,0.0
4.946074973881809,-0.0005630929959566169,0.0
4.946876583340294,-0.0013752041316187902,0.0
4.947678183574244,-0.002339284906593256,0.0
4.948479774604176,-0.0022623564218203565,0.0
4.949281356450605,-0.001792272243253741,0.0
4.950082929134048,-0.00016644546779916863,0.0
4.950884492675019,1.1980828561602985e-05,0.0
4.951686047094036,-0.00015736719605292243,0.0
4.952487592411614,-0.0006958525227955675,0.0
4.953289128648268,-0.0009489121505112802,0.0
4.954090655824513,-0.002018146274017363,0.0
4.954892173960869,-0.0027233465500654877,0.0
4.955693683077847,-0.0013269274373808523,0.0
4.956495183195965,-0.00012687697401170955,0.0
4.9572966743357405,-0.0016638574953703883,0.0
4.9580981565176865,-0.0019695096169079357,0.0
4.958899629762319,-0.0014592795711603074,0.0
4.959701094090156,-0.0015231280279333417,0.0
4.960502549521712,-0.0021417873456474126,0.0
4.961303996077503,-0.0009300138542051584,0.0
4.962105433778045,-0.0003150682503679017,0.0
4.962906862643853,-0.0002690838304627366,0.0
4.9637082826954435,0.0006615918771075147,0.0
4.964509693953332,0.0011713344094500325,0.0
4.965311096438035,0.0011318108992248999,0.0
4.966112490170069,0.00021624841012419377,0.0
4.966913875169948,-0.0021235748778510866,0.0
4.967715251458189,-0.0027231388069325485,0.0
4.968516619055307,-0.0023144476673110786,0.0
4.969317977981818,-0.001486524411773299,0.0
4.970119328258239,-0.00045996699041912087,0.0
4.970920669905086,-0.00034756746306258135,0.0
4.971722002942872,-0.001485221005087467,0.0
4.972523327392115,-0.0005468925379195147,0.0
